Month,Arrivals,Monthly_covid_cases,Terrorist_Attack_death
1971-01,5931,0,0
1971-02,6570,0,0
1971-03,5166,0,0
1971-04,1539,0,0
1971-05,952,0,0
1971-06,961,0,0
1971-07,1897,0,0
1971-08,2467,0,0
1971-09,1881,0,0
1971-10,2585,0,0
1971-11,4003,0,0
1971-12,5702,0,0
1972-01,5762,0,0
1972-02,5848,0,0
1972-03,5564,0,0
1972-04,3091,0,0
1972-05,3282,0,0
1972-06,2302,0,0
1972-07,3703,0,0
1972-08,4634,0,0
1972-09,3402,0,0
1972-10,4476,0,0
1972-11,6155,0,0
1972-12,7828,0,0
1973-01,9386,0,0
1973-02,8343,0,0
1973-03,7875,0,0
1973-04,5465,0,0
1973-05,4168,0,0
1973-06,3246,0,0
1973-07,5919,0,0
1973-08,6680,0,0
1973-09,4184,0,0
1973-10,5977,0,0
1973-11,7137,0,0
1973-12,9505,0,0
1974-01,10915,0,0
1974-02,9648,0,0
1974-03,9847,0,0
1974-04,6400,0,0
1974-05,3241,0,0
1974-06,3303,0,0
1974-07,5404,0,0
1974-08,6147,0,0
1974-09,4986,0,0
1974-10,6199,0,0
1974-11,8338,0,0
1974-12,10583,0,0
1975-01,11740,0,0
1975-02,10388,0,0
1975-03,11158,0,0
1975-04,5890,0,0
1975-05,5587,0,0
1975-06,4787,0,0
1975-07,5925,0,0
1975-08,8565,0,0
1975-09,5287,0,0
1975-10,7622,0,0
1975-11,11271,0,0
1975-12,14984,0,0
1976-01,15627,0,0
1976-02,15214,0,0
1976-03,13431,0,0
1976-04,8886,0,0
1976-05,6097,0,0
1976-06,4550,0,0
1976-07,4278,0,0
1976-08,3481,0,0
1976-09,6707,0,0
1976-10,10636,0,0
1976-11,13600,0,0
1976-12,16464,0,0
1977-01,17569,0,0
1977-02,18064,0,0
1977-03,18216,0,0
1977-04,9891,0,0
1977-05,7602,0,0
1977-06,5536,0,0
1977-07,9881,0,0
1977-08,11129,0,0
1977-09,7594,0,0
1977-10,11541,0,0
1977-11,17106,0,0
1977-12,19536,0,0
1978-01,23114,0,0
1978-02,22427,0,0
1978-03,20497,0,0
1978-04,11545,0,0
1978-05,8803,0,0
1978-06,7134,0,0
1978-07,13252,0,0
1978-08,15542,0,0
1978-09,10245,0,0
1978-10,14340,0,0
1978-11,20759,0,0
1978-12,24934,0,0
1979-01,28366,0,0
1979-02,25226,0,0
1979-03,25472,0,0
1979-04,18847,0,0
1979-05,13042,0,0
1979-06,10674,0,0
1979-07,16801,0,0
1979-08,20203,0,0
1979-09,14798,0,0
1979-10,19376,0,0
1979-11,25743,0,0
1979-12,31616,0,0
1980-01,36108,0,0
1980-02,33896,0,0
1980-03,34416,0,0
1980-04,21806,0,0
1980-05,19468,0,0
1980-06,15082,0,0
1980-07,22986,0,0
1980-08,27440,0,0
1980-09,19962,0,0
1980-10,23646,0,0
1980-11,23988,0,0
1980-12,37982,0,0
1981-01,45168,0,0
1981-02,39384,0,0
1981-03,38376,0,0
1981-04,28568,0,0
1981-05,21642,0,0
1981-06,16836,0,0
1981-07,28266,0,0
1981-08,32788,0,0
1981-09,24086,0,0
1981-10,27030,0,0
1981-11,29512,0,0
1981-12,39086,0,0
1982-01,40932,0,0
1982-02,40148,0,0
1982-03,42178,0,0
1982-04,29606,0,0
1982-05,28972,0,0
1982-06,25772,0,0
1982-07,30942,0,0
1982-08,34332,0,0
1982-09,29754,0,0
1982-10,30296,0,0
1982-11,33748,0,0
1982-12,40550,0,0
1983-01,49104,0,0
1983-02,44018,0,0
1983-03,44710,0,0
1983-04,32556,0,0
1983-05,32850,0,0
1983-06,24350,0,0
1983-07,25132,0,0
1983-08,8430,0,0
1983-09,10050,0,0
1983-10,16410,0,0
1983-11,20570,0,0
1983-12,29350,0,0
1984-01,33546,0,0
1984-02,32406,0,0
1984-03,32628,0,0
1984-04,23684,0,0
1984-05,1822,0,0
1984-06,17866,0,0
1984-07,26694,0,0
1984-08,27626,0,0
1984-09,21764,0,0
1984-10,25800,0,0
1984-11,27906,0,62
1984-12,26590,0,34
1985-01,28814,0,0
1985-02,27012,0,0
1985-03,29886,0,0
1985-04,19778,0,0
1985-05,14014,0,181
1985-06,11092,0,0
1985-07,18362,0,0
1985-08,20138,0,0
1985-09,15242,0,0
1985-10,18176,0,0
1985-11,23218,0,0
1985-12,31724,0,0
1986-01,32890,0,0
1986-02,30512,0,0
1986-03,28962,0,0
1986-04,19262,0,0
1986-05,13100,0,0
1986-06,9536,0,0
1986-07,12330,0,0
1986-08,15190,0,0
1986-09,12398,0,0
1986-10,12732,0,0
1986-11,18114,0,0
1986-12,25110,0,0
1987-01,25446,0,0
1987-02,23714,0,0
1987-03,22838,0,0
1987-04,16238,0,240
1987-05,8024,0,0
1987-06,7650,0,35
1987-07,10200,0,0
1987-08,11408,0,2
1987-09,10072,0,0
1987-10,12146,0,0
1987-11,14188,0,0
1987-12,20516,0,0
1988-01,20400,0,0
1988-02,19150,0,10
1988-03,19430,0,0
1988-04,13834,0,0
1988-05,11124,0,0
1988-06,11540,0,0
1988-07,17660,0,0
1988-08,18670,0,0
1988-09,14980,0,0
1988-10,16742,0,0
1988-11,10560,0,0
1988-12,8572,0,0
1989-01,12962,0,0
1989-02,12344,0,5
1989-03,16032,0,0
1989-04,12312,0,0
1989-05,12750,0,0
1989-06,11630,0,0
1989-07,15194,0,15
1989-08,17220,0,0
1989-09,14264,0,0
1989-10,15050,0,0
1989-11,18948,0,0
1989-12,26026,0,0
1990-01,26592,0,0
1990-02,26368,0,0
1990-03,26946,0,0
1990-04,22788,0,0
1990-05,18286,0,0
1990-06,18050,0,774
1990-07,26410,0,0
1990-08,26786,0,147
1990-09,22438,0,0
1990-10,23060,0,0
1990-11,24596,0,0
1990-12,35568,0,0
1991-01,28932,0,0
1991-02,28080,0,0
1991-03,27153,0,0
1991-04,20541,0,0
1991-05,17745,0,0
1991-06,17394,0,0
1991-07,645,0,0
1991-08,28824,0,0
1991-09,24762,0,0
1991-10,25173,0,0
1991-11,28272,0,0
1991-12,40182,0,0
1992-01,35730,0,0
1992-02,38859,0,0
1992-03,33399,0,0
1992-04,28410,0,0
1992-05,21024,0,0
1992-06,23157,0,0
1992-07,33771,0,0
1992-08,40143,0,0
1992-09,29838,0,0
1992-10,32079,0,172
1992-11,35967,0,0
1992-12,41292,0,0
1993-01,42726,0,0
1993-02,40116,0,0
1993-03,37953,0,0
1993-04,29589,0,0
1993-05,22368,0,11
1993-06,20410,0,0
1993-07,32904,0,0
1993-08,32796,0,0
1993-09,27495,0,0
1993-10,30621,0,0
1993-11,35103,0,0
1993-12,40167,0,0
1994-01,45402,0,0
1994-02,41067,0,0
1994-03,41277,0,0
1994-04,28080,0,0
1994-05,21777,0,0
1994-06,21399,0,0
1994-07,35370,0,0
1994-08,32817,0,0
1994-09,31062,0,0
1994-10,33216,0,52
1994-11,33306,0,0
1994-12,42738,0,0
1995-01,45987,0,0
1995-02,42591,0,0
1995-03,40074,0,0
1995-04,33756,0,0
1995-05,24672,0,42
1995-06,22416,0,0
1995-07,35994,0,0
1995-08,35814,0,0
1995-09,30828,0,0
1995-10,30603,0,26
1995-11,28365,0,0
1995-12,32001,0,0
1996-01,30957,0,91
1996-02,29550,0,0
1996-03,26442,0,0
1996-04,20376,0,0
1996-05,17655,0,0
1996-06,19668,0,0
1996-07,25380,0,64
1996-08,24765,0,0
1996-09,23211,0,0
1996-10,23511,0,0
1996-11,24921,0,0
1996-12,35829,0,0
1997-01,32652,0,0
1997-02,35010,0,0
1997-03,34098,0,0
1997-04,26907,0,0
1997-05,22407,0,0
1997-06,23160,0,0
1997-07,30867,0,0
1997-08,32034,0,0
1997-09,29793,0,0
1997-10,28314,0,0
1997-11,31995,0,0
1997-12,38928,0,0
1998-01,37224,0,17
1998-02,35283,0,0
1998-03,32256,0,0
1998-04,25578,0,0
1998-05,20394,0,0
1998-06,22410,0,0
1998-07,29529,0,0
1998-08,31446,0,0
1998-09,31653,0,0
1998-10,31767,0,0
1998-11,38421,0,0
1998-12,45102,0,0
1999-01,44379,0,0
1999-02,41526,0,0
1999-03,41022,0,0
1999-04,34443,0,0
1999-05,25212,0,0
1999-06,26184,0,0
1999-07,33288,0,0
1999-08,39081,0,0
1999-09,33915,0,116
1999-10,35110,0,17
1999-11,41952,0,0
1999-12,40326,0,36
2000-01,43311,0,0
2000-02,43287,0,0
2000-03,40110,0,0
2000-04,33642,0,0
2000-05,23404,0,0
2000-06,21825,0,0
2000-07,33267,0,21
2000-08,34422,0,0
2000-09,31035,0,0
2000-10,26658,0,0
2000-11,32469,0,0
2000-12,36984,0,0
2001-01,44187,0,0
2001-02,46575,0,0
2001-03,44290,0,0
2001-04,36906,0,0
2001-05,26924,0,0
2001-06,28323,0,0
2001-07,28566,0,0
2001-08,15717,0,0
2001-09,11758,0,0
2001-10,12904,0,0
2001-11,17344,0,0
2001-12,23300,0,0
2002-01,28296,0,0
2002-02,31683,0,0
2002-03,33084,0,0
2002-04,27057,0,0
2002-05,26661,0,0
2002-06,26355,0,0
2002-07,35742,0,0
2002-08,35475,0,0
2002-09,32982,0,0
2002-10,36258,0,0
2002-11,37395,0,0
2002-12,42183,0,0
2003-01,44647,0,0
2003-02,39081,0,0
2003-03,40818,0,0
2003-04,33714,0,0
2003-05,30048,0,0
2003-06,31836,0,0
2003-07,43743,0,0
2003-08,42111,0,0
2003-09,36054,0,0
2003-10,49922,0,0
2003-11,54946,0,0
2003-12,57722,0,0
2004-01,49950,0,0
2004-02,43584,0,0
2004-03,38418,0,0
2004-04,30672,0,0
2004-05,30162,0,0
2004-06,32119,0,0
2004-07,50525,0,0
2004-08,48675,0,0
2004-09,51525,0,0
2004-10,59442,0,0
2004-11,64971,0,0
2004-12,66159,0,0
2005-01,38187,0,0
2005-02,36645,0,0
2005-03,50418,0,0
2005-04,42261,0,0
2005-05,40878,0,0
2005-06,45699,0,0
2005-07,56745,0,0
2005-08,51216,0,0
2005-09,43536,0,0
2005-10,44095,0,0
2005-11,48457,0,0
2005-12,51171,0,0
2006-01,52103,0,0
2006-02,52687,0,0
2006-03,54746,0,0
2006-04,49776,0,0
2006-05,43825,0,0
2006-06,44066,0,64
2006-07,55354,0,0
2006-08,52931,0,7
2006-09,38485,0,0
2006-10,3885,0,103
2006-11,37591,0,0
2006-12,39224,0,0
2007-01,56553,0,0
2007-02,4305,0,0
2007-03,35031,0,0
2007-04,33039,0,0
2007-05,26307,0,0
2007-06,30810,0,0
2007-07,44142,0,0
2007-08,44742,0,0
2007-09,37104,0,0
2007-10,37011,0,0
2007-11,45102,0,17
2007-12,61116,0,0
2008-01,56916,0,28
2008-02,40551,0,30
2008-03,38049,0,0
2008-04,29747,0,26
2008-05,31140,0,8
2008-06,27960,0,0
2008-07,32982,0,0
2008-08,30672,0,0
2008-09,29529,0,0
2008-10,35103,0,0
2008-11,36901,0,0
2008-12,48925,0,0
2009-01,38468,0,0
2009-02,34169,0,0
2009-03,34065,0,14
2009-04,26054,0,253
2009-05,24739,0,0
2009-06,30234,0,0
2009-07,42223,0,0
2009-08,41207,0,0
2009-09,37983,0,0
2009-10,37575,0,0
2009-11,44311,0,0
2009-12,56862,0,0
2010-01,20757,0,0
2010-02,57300,0,0
2010-03,52352,0,0
2010-04,38300,0,0
2010-05,35213,0,0
2010-06,44730,0,0
2010-07,63339,0,0
2010-08,55898,0,0
2010-09,47339,0,0
2010-10,52370,0,0
2010-11,72251,0,0
2010-12,84627,0,0
2011-01,74197,0,0
2011-02,65797,0,0
2011-03,75130,0,0
2011-04,63835,0,0
2011-05,48943,0,0
2011-06,53636,0,0
2011-07,83786,0,0
2011-08,72463,0,0
2011-09,60219,0,0
2011-10,69563,0,0
2011-11,90889,0,0
2011-12,97517,0,0
2012-01,85874,0,0
2012-02,83549,0,0
2012-03,91102,0,0
2012-04,69591,0,0
2012-05,57506,0,0
2012-06,65245,0,0
2012-07,90338,0,0
2012-08,79456,0,0
2012-09,71111,0,0
2012-10,80379,0,0
2012-11,109420,0,0
2012-12,153918,0,0
2013-01,110543,0,0
2013-02,113968,0,0
2013-03,113208,0,0
2013-04,80737,0,0
2013-05,74834,0,0
2013-06,90279,0,0
2013-07,107016,0,0
2013-08,123269,0,0
2013-09,90339,0,0
2013-10,107058,0,0
2013-11,109420,0,0
2013-12,15918,0,0
2014-01,146575,0,0
2014-02,141878,0,0
2014-03,133048,0,0
2014-04,112631,0,0
2014-05,90046,0,0
2014-06,103175,0,0
2014-07,133971,0,0
2014-08,140319,0,0
2014-09,105535,0,0
2014-10,121576,0,0
2014-11,119727,0,0
2014-12,178672,0,0
2015-01,156246,0,0
2015-02,165541,0,0
2015-03,157051,0,0
2015-04,122217,0,0
2015-05,113529,0,0
2015-06,115467,0,0
2015-07,175804,0,0
2015-08,166610,0,0
2015-09,143374,0,0
2015-10,132280,0,0
2015-11,144147,0,0
2015-12,206114,0,0
2016-01,194280,0,0
2016-02,197697,0,0
2016-03,192841,0,0
2016-04,136367,0,0
2016-05,125044,0,0
2016-06,118038,0,0
2016-07,209351,0,0
2016-08,186288,0,0
2016-09,148499,0,0
2016-10,150419,0,0
2016-11,167217,0,0
2016-12,224791,0,0
2017-01,219360,0,0
2017-02,197517,0,0
2017-03,188076,0,0
2017-04,160249,0,0
2017-05,121891,0,0
2017-06,123351,0,0
2017-07,205482,0,0
2017-08,190928,0,0
2017-09,145077,0,0
2017-10,152429,0,0
2017-11,167511,0,0
2017-12,244536,0,0
2018-01,238924,0,0
2018-02,235618,0,0
2018-03,233382,0,0
2018-04,180429,0,0
2018-05,129466,0,0
2018-06,146828,0,0
2018-07,217829,0,0
2018-08,200359,0,0
2018-09,149087,0,0
2018-10,153123,0,0
2018-11,195582,0,0
2018-12,253169,0,0
2019-01,244239,0,0
2019-02,252033,0,0
2019-03,244328,0,0
2019-04,166975,0,0
2019-05,37802,0,0
2019-06,63072,0,0
2019-07,115701,0,0
2019-08,143587,0,0
2019-09,108575,0,0
2019-10,118743,0,0
2019-11,176984,0,0
2019-12,241663,0,0
2020-01,228434,0,0
2020-02,207507,0,0
2020-03,71370,0,0
2020-04,0,8561,0
2020-05,0,31022,0
2020-06,0,54775,0
2020-07,0,77888,0
2020-08,0,89859,0
2020-09,0,96889,0
2020-10,0,167148,0
2020-11,0,506170,0
2020-12,393,1045421,0
2021-01,1682,1619839,0
2021-02,3366,2084034,0
2021-03,4581,2732501,0
2021-04,4168,2908147,0
2021-05,1497,2261913,0
2021-06,1614,0,0
2021-07,2429,0,0
2021-08,5040,0,0
2021-09,13547,0,0
2021-10,22771,0,0
2021-11,44294,0,0
2021-12,89506,0,0
2022-01,82327,0,0
2022-02,96507,0,0
2022-03,106500,0,0
2022-04,62980,0,0
2022-05,30207,0,0
2022-06,32856,0,0
2022-07,47290,0,0
2022-08,37760,0,0
2022-09,29802,0,0
